samson_kurtrsion Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
samson_kurt_3263.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3262.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3260.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3259.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3258.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3257.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3255.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3249.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3248.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3247.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3246.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3243.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3237.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3235.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3234.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3232.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3230.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3227.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3226.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3225.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3224.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3222.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3219.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3218.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3216.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3215.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3212.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3211.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3207.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3203.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3202.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3200.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3197.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3194.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3193.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3184.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3183.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3182.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3180.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3179.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3177.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3176.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3175.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3174.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3165.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3163.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3157.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
