Version Name	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
cooke_donovan_est_b_032			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_b_031			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_030			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_029			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_027			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_025			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_024			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_023			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Waiter during service at est est est with waiters		1
cooke_donovan_est_b_022			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_020			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_019			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_018			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_017			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_016			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_b_015			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_012			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_010			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_b_009			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_b_008			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_006			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_005			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_004			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_003			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_002			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_001			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_036			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_035			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_c_034			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_033			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_032			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_029			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est estFrank Heaney at est est est		1
cooke_donovan_est_c_028			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est estFrank Heaney at est est est		1
cooke_donovan_est_c_025			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est estFrank Heaney at est est est		1
cooke_donovan_est_c_023			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_022			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_021			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_020			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_019			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_018			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_017			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_016			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_014			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_c_013			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_012			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_011			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_010			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_008			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_005			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_004			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_003			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est estFrank Heaney at est est est		1
cooke_donovan_est_c_002			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est estFrank Heaney at est est est		1
cooke_donovan_est_c_001			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_033			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_d_032			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_d_030			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_025			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_024			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_023			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_022			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_021			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_020			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_019			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_017			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_016			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_015			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_014			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_012			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_011			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_010			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_009			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_008			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_007			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_006			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_005			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_004			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_003			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_002			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_001			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_035			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
